Words,DistinctStems
1793000,25309
1794000,25313
1795000,25319
1796000,25325
1797000,25331
1798000,25332
1799000,25334
1800000,25339
1801000,25343
1802000,25351
1803000,25353
1804000,25357
1805000,25360
1806000,25363
1807000,25366
1808000,25371
1809000,25377
1810000,25379
1811000,25387
1812000,25394
1813000,25397
1814000,25402
1815000,25405
1816000,25409
1817000,25413
1818000,25418
1819000,25420
1820000,25427
1821000,25431
1822000,25433
1823000,25440
1824000,25444
1825000,25451
1826000,25454
1827000,25458
1828000,25464
1829000,25470
1830000,25475
1831000,25483
1832000,25488
1833000,25490
1834000,25492
1835000,25494
1836000,25498
1837000,25502
1838000,25507
1839000,25508
1840000,25510
1841000,25511
1842000,25515
1843000,25524
1844000,25526
1845000,25533
1846000,25535
1847000,25541
1848000,25543
1849000,25545
1850000,25546
1851000,25552
1852000,25562
1853000,25568
1854000,25570
1855000,25574
1856000,25577
1857000,25583
1858000,25589
1859000,25593
1860000,25601
1861000,25606
1862000,25612
1863000,25615
1864000,25621
1865000,25624
1866000,25627
1867000,25631
1868000,25634
1869000,25640
1870000,25641
1871000,25647
1872000,25654
1873000,25660
1874000,25663
1875000,25664
1876000,25669
1877000,25672
1878000,25675
1879000,25677
1880000,25682
1881000,25688
1882000,25693
1883000,25696
1884000,25701
1885000,25703
1886000,25711
1887000,25717
1888000,25720
1889000,25722
1890000,25727
1891000,25730
1892000,25736
1893000,25740
1894000,25747
1895000,25750
1896000,25752
1897000,25755
1898000,25758
1899000,25759
1900000,25764
1901000,25766
1902000,25770
1903000,25775
1904000,25779
1905000,25787
1906000,25790
1907000,25796
1908000,25801
1909000,25804
1910000,25809
1911000,25818
1912000,25822
1913000,25825
1914000,25829
1915000,25837
1916000,25852
1917000,25856
1918000,25860
1919000,25867
1920000,25870
1921000,25878
1922000,25880
1923000,25882
1924000,25887
1925000,25890
1926000,25895
1927000,25899
1928000,25903
1929000,25910
1930000,25913
1931000,25914
1932000,25922
1933000,25922
1934000,25923
1935000,25928
1936000,25932
1937000,25936
1938000,25940
1939000,25944
1940000,25946
1941000,25949
1942000,25953
1943000,25955
1944000,25960
1945000,25964
1946000,25976
1947000,25977
1948000,25978
1949000,25982
1950000,25987
1951000,25993
1952000,25996
1953000,26002
1954000,26003
1955000,26005
1956000,26011
1957000,26014
1958000,26016
1959000,26021
1960000,26027
1961000,26032
1962000,26041
1963000,26044
1964000,26054
1965000,26056
1966000,26061
1967000,26065
1968000,26069
1969000,26074
1970000,26078
1971000,26081
1972000,26087
1973000,26092
1974000,26096
1975000,26104
1976000,26104
1977000,26109
1978000,26109
1979000,26112
1980000,26115
1981000,26122
1982000,26126
1983000,26130
1984000,26134
1985000,26137
1986000,26142
1987000,26144
1988000,26147
1989000,26154
1990000,26155
1991000,26159
1992000,26164
1993000,26171
1994000,26174
1995000,26178
1996000,26182
1997000,26189
1998000,26194
1999000,26197
2000000,26205
2001000,26208
2002000,26208
2003000,26210
2004000,26213
2005000,26214
2006000,26214
2007000,26217
2008000,26221
2009000,26224
2010000,26225
2011000,26231
2012000,26236
2013000,26241
2014000,26244
2015000,26245
2016000,26246
